Date,Open,High,Low,Close,Volume
1-Feb-12,812.0,825.0,808.15,819.8,17200.0
10-Feb-12,870.45,899.0,859.0,873.3,14900.0
21-Feb-12,891.25,901.5,874.1,877.65,16400.0
1-Mar-12,815.0,818.8,802.25,813.25,18000.0
12-Mar-12,847.0,856.45,832.85,840.1,11400.0
12-Apr-12,820.5,840.0,820.5,835.95,5500.0
23-Apr-12,818.85,825.95,803.0,806.7,4000.0
1-May-12,1778.0,818.0,818.0,818.0,0.0
11-May-12,890.2917679558011,734.75,716.75,720.9,17700.0
21-May-12,706.25,858.8929178470254,706.25,710.15,3400.0
1-Jun-12,736.6,741.95,704.8,712.8,5900.0
12-Jul-12,788.0,791.0,782.1,783.95,4000.0
23-Jul-12,756.0,756.65,733.85,735.8,8200.0
1-Aug-12,797.9,798.9,790.95,796.45,4300.0
10-Aug-12,787.0,790.0,765.5,771.8,10300.0
21-Aug-12,770.7,774.75,765.55,770.35,4600.0
3-Sep-12,724.0,727.0,712.0,720.3,3900.0
13-Sep-12,760.0,760.0,725.0,730.15,5100.0
1-Oct-12,797.0,858.8929178470254,786.05,792.75,8500.0
11-Oct-12,776.3,785.05,776.3,782.2,7000.0
22-Oct-12,773.0,776.0,767.0,771.85,4600.0
1-Nov-12,735.5,749.0,734.5,867.0988169014084,5400.0
12-Nov-12,758.3,830.0,725.15,728.3,4700.0
21-Nov-12,710.0,714.0,705.0,708.75,3900.0
3-Dec-12,718.95,722.6,715.15,718.15,6800.0
13-Dec-12,712.5,717.0,703.1,705.9,5200.0
24-Dec-12,685.8,693.5,685.0,690.35,12200.0
1-Jan-13,707.4,709.2,702.0,704.9,3400.0
21-Jan-13,686.75,695.8,680.0,684.35,6800.0
1-Feb-13,653.0,858.8929178470254,638.0,646.3,9400.0
11-Feb-13,649.95,654.5,646.05,651.6,3300.0
21-Feb-13,890.2917679558011,623.85,573.0,583.4,98100.0
11-Mar-13,890.2917679558011,628.35,604.3,621.75,19200.0
21-Mar-13,532.0,540.2,520.5,523.55,13300.0
1-Apr-13,494.2,858.8929178470254,491.35,511.1,14600.0
11-Apr-13,478.0,484.0,475.0,478.05,14300.0
22-Apr-13,491.7,499.8,489.0,494.8,8000.0
1-May-13,519.55,519.55,519.55,519.55,0.0
10-May-13,530.0,531.9,522.15,527.15,8400.0
3-Jun-13,635.0,660.0,632.05,643.65,47900.0
13-Jun-13,599.0,609.0,588.0,592.4,12500.0
24-Jun-13,607.0,609.0,581.2,582.45,12900.0
11-Jul-13,593.0,619.0,591.5,594.1,5400.0
22-Jul-13,573.0,587.45,573.0,579.85,9700.0
1-Aug-13,507.0,517.0,486.25,492.45,5200.0
12-Aug-13,498.0,519.0,480.05,497.1,19600.0
21-Aug-13,471.0,479.0,465.0,466.15,4700.0
2-Sep-13,455.0,457.4,450.9,453.9,5300.0
12-Sep-13,573.9,573.9,546.5,550.35,27000.0
23-Sep-13,559.0,568.8,550.15,556.9,12200.0
1-Oct-13,546.7,563.7,538.35,867.0988169014084,20000.0
11-Oct-13,548.0,567.0,546.0,560.85,59400.0
21-Oct-13,558.0,590.05,552.85,579.05,44700.0
1-Nov-13,630.0,636.65,621.05,628.25,18900.0
11-Nov-13,614.55,615.45,601.1,603.95,13700.0
21-Nov-13,597.0,610.0,593.0,595.5,8400.0
2-Dec-13,672.0,686.9,642.8,673.25,28500.0
12-Dec-13,675.0,697.0,670.0,687.6,26600.0
23-Dec-13,669.9,688.0,669.9,674.3,19700.0
1-Jan-14,693.0,697.8,683.0,684.25,16700.0
10-Jan-14,663.7,671.0,650.0,653.2,13600.0
21-Jan-14,637.0,650.0,635.0,638.05,16500.0
3-Feb-14,580.6,610.0,570.0,576.9,10500.0
13-Feb-14,585.0,591.6,572.0,574.05,8200.0
24-Feb-14,680.25,687.4,675.1,679.35,33300.0
13-Mar-14,793.0,822.4,787.8,818.55,135800.0
24-Mar-14,786.0,801.6,785.0,798.2,48400.0
11-Apr-14,836.0,838.0,819.05,825.0,12000.0
1-May-14,1800.45,840.45,840.45,840.45,0.0
12-May-14,833.0,922.7,830.0,880.25,131900.0
2-Jun-14,920.0,938.1,910.0,926.65,16700.0
12-Jun-14,1013.3,1013.3,991.15,1001.15,8400.0
23-Jun-14,1037.45,1057.9,1021.15,1043.7,15600.0
11-Jul-14,1064.45,1074.35,1035.6,1047.55,5500.0
21-Jul-14,1099.0,1106.7,1088.05,867.0988169014084,4700.0
1-Aug-14,1035.0,1040.0,856.3574719101124,1029.0,3200.0
21-Aug-14,1019.5,1033.05,1005.0,1011.2,12500.0
1-Sep-14,990.0,1123.9,980.25,1083.15,93300.0
22-Sep-14,1228.0,1263.5,1215.6,1236.35,25300.0
1-Oct-14,1160.0,1169.8,1112.2,1115.85,11700.0
10-Oct-14,1080.0,1080.0,1050.0,1054.45,4800.0
21-Oct-14,1039.4,1069.0,1036.35,1062.45,10600.0
3-Nov-14,1168.75,1177.15,1136.95,1147.05,12100.0
13-Nov-14,1105.0,1120.0,1090.0,1092.65,5100.0
24-Nov-14,1101.05,1128.0,1101.05,1116.8,8500.0
1-Dec-14,1110.8,1124.0,1091.05,1118.45,6100.0
11-Dec-14,1235.55,1250.0,1210.0,1222.3,10400.0
12-Jan-15,1270.0,1280.0,1258.25,1266.7,4800.0
21-Jan-15,1285.55,1290.4,1266.9,1270.95,3900.0
2-Feb-15,1291.0,1291.0,1257.0,1261.55,7600.0
12-Feb-15,1366.5,1376.0,1341.25,1359.5,9100.0
23-Feb-15,1415.05,1445.0,1405.1,1414.85,11300.0
2-Mar-15,1414.6,1421.0,1394.0,1402.0,11500.0
12-Mar-15,1328.05,1336.0,1307.2,1318.75,10100.0
23-Mar-15,1267.1,1275.05,1234.05,1244.45,9000.0
10-Apr-15,1355.5,1375.95,1340.0,1353.55,7400.0
21-Apr-15,1322.9,1378.9,1297.7,1362.5,12700.0
11-May-15,1370.4,1376.4,1328.0,1333.85,5900.0
21-May-15,1348.3,1354.3,1333.0,1339.6,4900.0
1-Jun-15,1330.0,1344.95,1313.0,1329.55,2900.0
11-Jun-15,1296.65,1315.15,1261.0,1267.55,3900.0
22-Jun-15,1337.15,1345.0,1325.0,1334.1,6000.0
1-Jul-15,1325.2,1338.05,1325.0,1330.2,3300.0
21-Jul-15,1395.5,1432.8,1382.0,1390.4,5800.0
3-Aug-15,1386.7,1392.0,1367.0,867.0988169014084,3900.0
13-Aug-15,1340.95,1375.25,1284.2,1286.45,6800.0
24-Aug-15,1270.0,1274.9,1155.0,1178.85,10100.0
1-Sep-15,1224.65,1232.3,1182.6,1195.35,2600.0
11-Sep-15,1165.55,1180.0,856.3574719101124,1153.3,3400.0
21-Sep-15,1123.3,1135.0,1107.0,1110.9,2800.0
1-Oct-15,1066.95,1071.95,1045.0,1051.3,4500.0
12-Oct-15,1131.15,1131.15,1097.1,1104.45,2900.0
22-Oct-15,1237.75,1237.75,1237.75,1237.75,0.0
2-Nov-15,1255.0,1285.0,1239.6,1273.3,10100.0
12-Nov-15,1201.7,1201.7,1201.7,1201.7,0.0
23-Nov-15,1174.0,1180.8,1170.05,1174.7,2800.0
11-Dec-15,1131.8,1139.0,1105.3,1109.75,3700.0
21-Dec-15,1148.0,1155.8,1129.6,1141.55,7700.0
1-Jan-16,1122.35,1123.3,1114.0,1117.5,1400.0
11-Jan-16,1055.0,1055.0,1001.0,1006.85,12100.0
21-Jan-16,1007.45,1014.15,963.05,968.75,3400.0
1-Feb-16,976.0,1025.0,975.0,997.7,7800.0
12-Feb-16,1090.55,1106.65,1030.0,1042.5,14600.0
22-Feb-16,1102.5,1112.0,1093.45,1106.15,5700.0
1-Mar-16,1028.0,1048.25,1014.25,1031.0,12400.0
11-Mar-16,1155.05,1175.15,1142.0,1147.3,6100.0
1-Apr-16,1272.0,1312.0,1264.0,1291.25,14900.0
11-Apr-16,1350.0,1432.7,1325.0,1381.9,24900.0
21-Apr-16,1334.0,1338.15,1325.05,1330.85,4800.0
2-May-16,1290.0,1299.7,1262.3,1267.5,5500.0
23-May-16,1210.0,1229.0,1208.95,1216.4,3700.0
1-Jun-16,1240.0,1244.0,1218.45,1229.8,4600.0
10-Jun-16,1208.15,1229.0,1206.1,1210.15,4800.0
21-Jun-16,1230.0,1240.0,1215.0,1232.0,4400.0
1-Jul-16,1225.2,1240.0,1216.2,1223.85,7000.0
11-Jul-16,1265.5,1287.0,856.3574719101124,1276.4,11800.0
21-Jul-16,1301.0,1322.1,1261.0,1270.55,36800.0
22-Aug-16,1168.2,1168.2,1148.4,1155.55,2600.0
